Unnamed: 0,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location,location
631,2012 Maruti Swift Dzire,VXI,Manual,"44,074 km",1st Owner,Petrol,KA-01,"8,172/month","4,18,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
632,2013 Maruti Swift Dzire,ZXI,Manual,"36,337 km",1st Owner,Petrol,HR-26,"9,697/month","4,96,000","Sonnappanahalli
",Bangalore
633,2018 Hyundai Elite i20,ASTA 1.2 (O),Manual,"35,368 km",1st Owner,Petrol,KA-63,"15,093/month","7,72,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
634,2021 Renault Kwid,CLIMBER 1.0 (O) DUAL TONE,Manual,"19,062 km",1st Owner,Petrol,KA-51,"10,166/month","5,20,000","Bellahalli, Bengaluru",Bangalore
635,2013 Hyundai i10,SPORTZ 1.2 AT,Automatic,"69,263 km",2nd Owner,Petrol,KA-03,"6,647/month","3,40,000","Hosur Road, Singasandra, Bengaluru",Bangalore
636,2019 Hyundai Elite i20,SPORTZ PLUS  1.2 CVT,Automatic,"14,285 km",2nd Owner,Petrol,KA-05,"15,284/month","8,03,000","Sonnappanahalli
",Bangalore
637,2017 Honda Jazz,1.2L I-VTEC VX,Manual,"70,235 km",1st Owner,Petrol,KA-03,"10,987/month","5,62,000","Horamavu Agara Road, Bengaluru",Bangalore
638,2021 Renault Kiger,RXZ CVT 1.0 TURBO DUAL TONE,Automatic,"16,082 km",1st Owner,Petrol,KA-04,"18,273/month","9,60,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
639,2021 Maruti IGNIS,DELTA 1.2 AMT,Automatic,"4,940 km",2nd Owner,Petrol,KA-01,"13,529/month","6,92,000","Bellahalli, Bengaluru",Bangalore
640,2017 Maruti Alto K10,VXI,Manual,"29,094 km",1st Owner,Petrol,KA-09,"7,370/month","3,77,000","Horamavu Agara Road, Bengaluru",Bangalore
641,2017 Maruti IGNIS,DELTA 1.2 AMT,Automatic,"42,622 km",3rd Owner,Petrol,KA-03,"10,714/month","5,48,000","Bellahalli, Bengaluru",Bangalore
642,2018 Renault Kwid,RXT 1.0 EASY-R  AT,Automatic,"34,398 km",1st Owner,Petrol,KA-02,"8,641/month","4,42,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
643,2015 Maruti Celerio,VXI AMT,Automatic,"42,137 km",1st Owner,Petrol,KA-25,"8,407/month","4,30,000","Bellahalli, Bengaluru",Bangalore
644,2020 Maruti Ciaz,ALPHA 1.5 SHVS PETROL,Manual,"80,648 km",1st Owner,Petrol,KA-27,"15,265/month","8,02,000","Bellahalli, Bengaluru",Bangalore
645,2014 Hyundai Grand i10,MAGNA 1.1 CRDI,Manual,"76,009 km",1st Owner,Diesel,KA-51,"8,680/month","4,44,000","Bellahalli, Bengaluru",Bangalore
646,2017 Honda Jazz,1.2L I-VTEC V AT,Automatic,"50,359 km",1st Owner,Petrol,KA-04,"12,278/month","6,28,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
647,2019 Maruti Ciaz,DELTA AT 1.5 SHVS PETROL,Automatic,"54,561 km",2nd Owner,Petrol,KA-51,"15,322/month","8,05,000","Bellahalli, Bengaluru",Bangalore
648,2020 Renault Kwid,RXT 1.0 AMT (O),Automatic,"22,474 km",1st Owner,Petrol,KA-50,"11,065/month","5,66,000","Horamavu Agara Road, Bengaluru",Bangalore
649,2019 Renault Kwid,RXT 1.0 (O),Manual,"26,039 km",1st Owner,Petrol,KA-50,"8,700/month","4,45,000","Hosur Road, Singasandra, Bengaluru",Bangalore
650,2020 Maruti Swift,VXI,Manual,"61,433 km",1st Owner,Petrol,KA-51,"12,903/month","6,60,000","Bellahalli, Bengaluru",Bangalore
651,2017 Honda WR-V,1.2L I-VTEC VX MT,Manual,"26,158 km",1st Owner,Petrol,KA-03,"15,456/month","8,12,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
652,2015 Maruti Swift,VXI,Manual,"91,087 km",1st Owner,Petrol,KA-01,"9,971/month","5,10,000","Hosur Road, Singasandra, Bengaluru",Bangalore
653,2019 Renault Kwid,CLIMBER 1.0,Manual,"52,231 km",1st Owner,Petrol,KA-13,"8,152/month","4,17,000","Bellahalli, Bengaluru",Bangalore
654,2012 Maruti Swift,VXI,Manual,"66,346 km",1st Owner,Petrol,KA-03,"8,407/month","4,30,000","Horamavu Agara Road, Bengaluru",Bangalore
655,2021 Honda City,1.5L I-VTEC VX,Manual,"19,497 km",1st Owner,Petrol,KA-50,"24,059/month","12,64,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
656,2017 Maruti IGNIS,ZETA 1.2 AMT,Automatic,"74,643 km",1st Owner,Petrol,KA-06,"10,264/month","5,25,000","Bellahalli, Bengaluru",Bangalore
657,2015 Maruti Swift,VDI ABS,Manual,"87,753 km",1st Owner,Diesel,KA-04,"11,280/month","5,77,000","Horamavu Agara Road, Bengaluru",Bangalore
658,2014 Maruti Swift,VXI,Manual,"24,700 km",1st Owner,Petrol,KA-03,"10,010/month","5,12,000","Horamavu Agara Road, Bengaluru",Bangalore
659,2020 Maruti Baleno,ALPHA CVT PETROL 1.2,Automatic,"9,724 km",1st Owner,Petrol,KA-02,"17,587/month","9,24,000","Horamavu Agara Road, Bengaluru",Bangalore
660,2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"48,285 km",1st Owner,Petrol,KA-51,"12,864/month","6,58,000","Bellahalli, Bengaluru",Bangalore
661,2013 Honda Brio,V MT,Manual,"66,488 km",3rd Owner,Petrol,KA-01,"5,904/month","3,02,000","Horamavu Agara Road, Bengaluru",Bangalore
662,2018 Maruti Swift,VXI,Manual,"28,548 km",1st Owner,Petrol,KA-01,"13,216/month","6,76,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
663,2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"96,455 km",1st Owner,Petrol,KA-02,"8,348/month","4,27,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
664,2014 Maruti Swift,VXI,Manual,"52,802 km",2nd Owner,Petrol,KA-05,"9,286/month","4,75,000","Hosur Road, Singasandra, Bengaluru",Bangalore
665,2016 Maruti Swift,VXI,Manual,"30,740 km",1st Owner,Petrol,KA-41,"11,691/month","5,98,000","Hosur Road, Singasandra, Bengaluru",Bangalore
666,2017 Maruti Baleno,ALPHA CVT PETROL 1.2,Automatic,"41,500 km",2nd Owner,Petrol,KA-05,"13,314/month","6,81,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
667,2017 Maruti Ciaz,ZETA DIESEL 1.3,Manual,"57,268 km",2nd Owner,Diesel,KA-03,"14,624/month","7,48,000","Horamavu Agara Road, Bengaluru",Bangalore
668,2016 Honda City,1.5L I-VTEC V MT,Manual,"47,776 km",1st Owner,Petrol,KA-53,"13,959/month","7,14,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
669,2019 Tata NEXON,XZA PLUS PETROL DUAL TONE,Automatic,"44,452 km",1st Owner,Petrol,KA-51,"15,970/month","8,39,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
670,2013 Maruti Wagon R 1.0,VXI,Manual,"58,323 km",1st Owner,Petrol,KA-02,"7,155/month","3,66,000","Bellahalli, Bengaluru",Bangalore
671,2017 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"34,757 km",1st Owner,Petrol,KA-05,"11,359/month","5,81,000","Hosur Road, Singasandra, Bengaluru",Bangalore
672,2016 Hyundai Elite i20,MAGNA 1.2,Manual,"40,335 km",1st Owner,Petrol,KA-51,"11,769/month","6,02,000","Bellahalli, Bengaluru",Bangalore
673,2010 Maruti Wagon R 1.0,VXI,Manual,"89,928 km",1st Owner,Petrol,KA-03,"5,259/month","2,69,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
674,2019 Maruti Baleno,ALPHA CVT PETROL 1.2,Automatic,"19,693 km",1st Owner,Petrol,KA-51,"15,874/month","8,34,000","Bellahalli, Bengaluru",Bangalore
675,2021 Maruti New Wagon-R,ZXI 1.2,Manual,"14,009 km",1st Owner,Petrol,KA-19,"12,532/month","6,41,000","Hosur Road, Singasandra, Bengaluru",Bangalore
676,2017 Maruti Baleno,DELTA CVT PETROL 1.2,Automatic,"39,481 km",2nd Owner,Petrol,KA-03,"14,115/month","7,22,000","Bellahalli, Bengaluru",Bangalore
677,2021 Maruti Dzire,ZXI,Manual,"15,045 km",1st Owner,Petrol,KA-03,"15,562/month","7,96,000","Bellahalli, Bengaluru",Bangalore
678,2016 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"22,977 km",1st Owner,Petrol,KA-51,"9,599/month","4,91,000","Bellahalli, Bengaluru",Bangalore
679,2017 Maruti Vitara Brezza,ZDI,Manual,"86,210 km",1st Owner,Diesel,KA-02,"15,722/month","8,26,000","Horamavu Agara Road, Bengaluru",Bangalore
680,2015 Maruti Swift,VXI,Manual,"77,646 km",1st Owner,Petrol,KA-04,"9,990/month","5,11,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
681,2019 Mahindra XUV500,W11 (O) AT,Automatic,"30,853 km",1st Owner,Diesel,KA-03,"34,414/month","18,08,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
682,2017 Renault Kwid,RXL 1.0,Manual,"41,993 km",1st Owner,Petrol,KA-50,"7,351/month","3,76,000","Sonnappanahalli
",Bangalore
683,2018 Ford Ecosport,TITANIUM 1.5L DIESEL,Manual,"35,922 km",2nd Owner,Diesel,KA-05,"16,255/month","8,54,000","Bellahalli, Bengaluru",Bangalore
684,2017 Hyundai Grand i10,SPORTZ AT 1.2 KAPPA VTVT,Automatic,"35,897 km",2nd Owner,Petrol,KA-01,"11,378/month","5,82,000","Horamavu Agara Road, Bengaluru",Bangalore
685,2020 Toyota YARIS,VX CVT,Automatic,"22,541 km",2nd Owner,Petrol,KA-42,"18,996/month","9,98,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
686,2021 Maruti Alto,VXI PLUS,Manual,"14,771 km",1st Owner,Petrol,KA-03,"8,309/month","4,25,000","Bellahalli, Bengaluru",Bangalore
687,2011 Maruti Wagon R 1.0,VXI,Manual,"69,138 km",2nd Owner,Petrol,KA-53,"5,552/month","2,84,000","Bellahalli, Bengaluru",Bangalore
688,2022 Tata NEXON,XZ PLUS PETROL KAZIRANGA,Manual,"20,514 km",1st Owner,Petrol,KA-01,"23,317/month","12,25,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
689,2021 Maruti Swift,VXI,Manual,"13,058 km",1st Owner,Petrol,KA-04,"14,995/month","7,67,000","GT World Mall, Bengaluru",Bangalore
690,2011 Hyundai Santro Xing,GL PLUS,Manual,"66,123 km",1st Owner,Petrol,KA-53,"5,513/month","2,82,000","Horamavu Agara Road, Bengaluru",Bangalore
691,2017 Maruti IGNIS,DELTA 1.2 AMT,Automatic,"16,202 km",1st Owner,Petrol,KA-03,"12,180/month","6,23,000","Horamavu Agara Road, Bengaluru",Bangalore
692,2020 Volkswagen Vento,HIGHLINE PLUS 1.0L TSI,Manual,"68,303 km",2nd Owner,Petrol,KA-09,"21,832/month","11,47,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
693,2017 Honda Jazz,1.2L I-VTEC V AT,Automatic,"37,184 km",2nd Owner,Petrol,KA-01,"12,238/month","6,26,000","Bellahalli, Bengaluru",Bangalore
694,2017 Maruti Wagon R 1.0,VXI,Manual,"58,659 km",1st Owner,Petrol,KA-52,"8,934/month","4,57,000","Horamavu Agara Road, Bengaluru",Bangalore
695,2020 Toyota URBAN CRUISER,PREMIUM GRADE MT DUAL TONE,Manual,"1,11,712 km",1st Owner,Petrol,KA-05,"17,093/month","8,98,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
696,2018 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"16,247 km",1st Owner,Petrol,KA-03,"12,375/month","6,33,000","Bellahalli, Bengaluru",Bangalore
697,2020 Hyundai AURA,SX PLUS 1.2 AMT,Automatic,"21,627 km",2nd Owner,Petrol,KA-04,"15,621/month","7,99,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
698,2014 Hyundai Elite i20,ASTA 1.2,Manual,"67,515 km",1st Owner,Petrol,KA-03,"10,635/month","5,44,000","Bellahalli, Bengaluru",Bangalore
699,2018 Honda Brio,S MT,Manual,"43,457 km",1st Owner,Petrol,KA-03,"9,873/month","5,05,000","Bellahalli, Bengaluru",Bangalore
700,2022 Hyundai GRAND I10 NIOS,ASTA AMT 1.2 KAPPA VTVT,Automatic,"9,440 km",2nd Owner,Petrol,KA-05,"15,798/month","8,30,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
701,2018 Ford Ecosport,TITANIUM + 1.5L PETROL AT,Automatic,"12,623 km",2nd Owner,Petrol,KA-51,"17,302/month","9,09,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
702,2015 Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,Automatic,"70,864 km",1st Owner,Petrol,KA-02,"9,971/month","5,10,000","GT World Mall, Bengaluru",Bangalore
703,2020 Hyundai Creta,SX (O) IVT 1.5 PETROL,Automatic,"30,420 km",1st Owner,Petrol,KA-41,"31,958/month","16,79,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
704,2016 Maruti Baleno,DELTA PETROL 1.2,Manual,"76,794 km",1st Owner,Petrol,KA-01,"12,356/month","6,32,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
705,2017 Ford Ecosport,TREND 1.5L PETROL,Manual,"80,390 km",1st Owner,Petrol,KA-36,"12,356/month","6,32,000","Bellahalli, Bengaluru",Bangalore
706,2016 Mahindra XUV500,W10,Manual,"74,592 km",2nd Owner,Diesel,KA-09,"23,678/month","12,44,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
707,2021 Renault Kwid,CLIMBER 1.0 (O),Manual,"20,023 km",1st Owner,Petrol,KA-14,"10,440/month","5,34,000","Bellahalli, Bengaluru",Bangalore
708,2019 Renault Kwid,RXT 1.0 AMT (O),Automatic,"5,083 km",2nd Owner,Petrol,KA-50,"10,186/month","5,21,000","Horamavu Agara Road, Bengaluru",Bangalore
709,2018 Honda Amaze,1.2L I-VTEC V CVT,Automatic,"55,146 km",2nd Owner,Petrol,KA-03,"13,744/month","7,03,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
710,2017 Honda City,1.5L I-DTEC V,Manual,"1,20,409 km",1st Owner,Diesel,KA-09,"13,978/month","7,15,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
711,2018 Honda City,1.5L I-VTEC ZX CVT ANNIVERSARY EDITION,Automatic,"59,472 km",1st Owner,Petrol,KA-05,"19,967/month","10,49,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
712,2017 Maruti Dzire,VDI AMT,Automatic,"1,12,566 km",2nd Owner,Diesel,KA-05,"12,610/month","6,45,000","Horamavu Agara Road, Bengaluru",Bangalore
713,2018 Ford Ecosport,TITANIUM + 1.5L PETROL AT,Automatic,"65,828 km",2nd Owner,Petrol,KA-51,"15,551/month","8,17,000","Hosur Road, Singasandra, Bengaluru",Bangalore
714,2017 Maruti Ciaz,ZETA 1.4  MT PETROL,Manual,"1,09,720 km",1st Owner,Petrol,KA-04,"12,551/month","6,42,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
715,2016 Hyundai Creta,SX PLUS 1.6 PETROL,Manual,"53,031 km",2nd Owner,Petrol,KA-05,"17,873/month","9,39,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
716,2016 Tata Tiago,XZ PETROL,Manual,"13,286 km",1st Owner,Petrol,KA-02,"10,068/month","5,15,000","Bellahalli, Bengaluru",Bangalore
717,2017 Renault Kwid,RXL 1.0 AMT,Automatic,"23,119 km",1st Owner,Petrol,KA-53,"7,957/month","4,07,000","Horamavu Agara Road, Bengaluru",Bangalore
718,2019 Maruti Swift,VXI AMT,Automatic,"70,314 km",1st Owner,Petrol,KA-05,"12,610/month","6,45,000","Bellahalli, Bengaluru",Bangalore
719,2020 Hyundai NEW I20,Asta 1.0 GDI Turbo IMT,Manual,"14,949 km",1st Owner,Petrol,KA-05,"19,072/month","10,02,000","Bellahalli, Bengaluru",Bangalore
720,2018 Honda City,1.5L I-VTEC VX,Manual,"39,466 km",1st Owner,Petrol,KA-04,"17,816/month","9,36,000","Bellahalli, Bengaluru",Bangalore
721,2014 Maruti Swift,VXI,Manual,"27,518 km",2nd Owner,Petrol,KA-53,"9,892/month","5,06,000","Bellahalli, Bengaluru",Bangalore
722,2011 Maruti Ritz,VXI,Manual,"67,150 km",1st Owner,Petrol,KA-03,"6,647/month","3,40,000","Bellahalli, Bengaluru",Bangalore
723,2020 Renault Kwid,RXT 1.0 AMT (O),Automatic,"10,916 km",2nd Owner,Petrol,KA-51,"10,127/month","5,18,000","Bellahalli, Bengaluru",Bangalore
724,2019 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"69,199 km",2nd Owner,Petrol,KA-53,"11,026/month","5,64,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
725,2016 Maruti Baleno,DELTA PETROL 1.2,Manual,"50,318 km",1st Owner,Petrol,KA-05,"12,023/month","6,15,000","Bellahalli, Bengaluru",Bangalore
726,2016 Tata Tiago,XZ PETROL,Manual,"1,42,372 km",1st Owner,Petrol,KA-03,"8,465/month","4,33,000","Bellahalli, Bengaluru",Bangalore
727,2018 Maruti Dzire,VXI AMT,Automatic,"41,998 km",1st Owner,Petrol,KA-01,"12,551/month","6,42,000","Hosur Road, Singasandra, Bengaluru",Bangalore
728,2015 Maruti Celerio,ZXI,Manual,"57,521 km",1st Owner,Petrol,KA-42,"8,876/month","4,54,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
729,2020 Mahindra XUV500,W11(O),Manual,"60,599 km",1st Owner,Diesel,KA-02,"33,195/month","17,44,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
730,2021 Maruti Alto,VXI PLUS,Manual,"2,368 km",1st Owner,Petrol,KA-05,"8,680/month","4,44,000","Bellahalli, Bengaluru",Bangalore
731,2017 Honda WR-V,1.2L I-VTEC VX MT,Manual,"72,452 km",2nd Owner,Petrol,KA-18,"13,724/month","7,02,000","Horamavu Agara Road, Bengaluru",Bangalore
732,2016 Nissan Micra,XV CVT,Automatic,"33,902 km",2nd Owner,Petrol,KA-05,"9,658/month","4,94,000","Bellahalli, Bengaluru",Bangalore
733,2020 Hyundai VENUE,SX 1.0 (O) TURBO IMT,Manual,"11,208 km",1st Owner,Petrol,KA-04,"22,327/month","11,73,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
734,2015 Hyundai Elite i20,ASTA 1.2,Manual,"72,961 km",1st Owner,Petrol,KA-51,"11,984/month","6,13,000","Hosur Road, Singasandra, Bengaluru",Bangalore
735,2015 Hyundai Elite i20,ASTA 1.2,Manual,"53,606 km",1st Owner,Petrol,KA-51,"13,020/month","6,66,000","Hosur Road, Singasandra, Bengaluru",Bangalore
736,2018 Maruti Celerio X,ZXI (O),Manual,"17,125 km",2nd Owner,Petrol,KA-01,"10,674/month","5,46,000","Bellahalli, Bengaluru",Bangalore
737,2012 Maruti Alto 800,LXI,Manual,"68,582 km",1st Owner,Petrol,KA-51,"4,848/month","2,48,000","Bellahalli, Bengaluru",Bangalore
738,2017 Maruti Baleno,ZETA PETROL 1.2,Manual,"26,031 km",1st Owner,Petrol,KA-03,"13,959/month","7,14,000","Bellahalli, Bengaluru",Bangalore
739,2015 Tata Zest,XMA F-TRONIC DIESEL,Automatic,"1,16,242 km",1st Owner,Diesel,KA-02,"8,348/month","4,27,000","Hosur Road, Singasandra, Bengaluru",Bangalore
740,2020 Renault Kwid,RXT 1.0 AMT (O),Automatic,"12,341 km",1st Owner,Petrol,KA-05,"10,870/month","5,56,000","Hosur Road, Singasandra, Bengaluru",Bangalore
741,2017 Honda WR-V,1.2L I-VTEC VX MT,Manual,"40,752 km",1st Owner,Petrol,KA-01,"15,146/month","7,74,700","Garuda Mall, Magrath Road, Bengaluru",Bangalore
742,2015 Maruti Celerio,ZXI,Manual,"44,265 km",1st Owner,Petrol,KA-04,"9,032/month","4,62,000","Horamavu Agara Road, Bengaluru",Bangalore
743,2017 Hyundai Creta,SX PLUS 1.6 PETROL,Manual,"61,139 km",2nd Owner,Petrol,KA-53,"18,501/month","9,72,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
744,2017 Renault Duster,RXL PETROL,Manual,"68,505 km",1st Owner,Petrol,KA-01,"14,604/month","7,47,000","Hosur Road, Singasandra, Bengaluru",Bangalore
745,2020 Maruti Baleno,ZETA CVT PETROL 1.2,Automatic,"15,123 km",1st Owner,Petrol,KA-03,"15,551/month","8,17,000","Bellahalli, Bengaluru",Bangalore
746,2017 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"44,268 km",2nd Owner,Petrol,KA-04,"11,339/month","5,80,000","Bellahalli, Bengaluru",Bangalore
747,2010 Maruti Wagon R 1.0,VXI,Manual,"1,03,549 km",2nd Owner,Petrol,KA-03,"5,318/month","2,72,000","Bellahalli, Bengaluru",Bangalore
748,2018 Hyundai Grand i10,SPORTZ AT 1.2 KAPPA VTVT,Automatic,"29,550 km",2nd Owner,Petrol,KA-51,"12,453/month","6,37,000","Bellahalli, Bengaluru",Bangalore
749,2021 Maruti Alto,VXI,Manual,"21,104 km",1st Owner,Petrol,KA-04,"7,976/month","4,08,000","Hosur Road, Singasandra, Bengaluru",Bangalore
750,2016 Maruti Swift Dzire,VXI,Manual,"35,792 km",2nd Owner,Petrol,KA-53,"11,280/month","5,77,000","Horamavu Agara Road, Bengaluru",Bangalore
751,2018 Ford Ecosport,TITANIUM + 1.5L PETROL,Manual,"6,492 km",2nd Owner,Petrol,KA-02,"17,930/month","9,42,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
752,2015 Hyundai Elite i20,ASTA 1.4 CRDI,Manual,"63,218 km",1st Owner,Diesel,KA-02,"12,962/month","6,63,000","Horamavu Agara Road, Bengaluru",Bangalore
753,2016 Maruti Swift,VXI,Manual,"84,469 km",1st Owner,Petrol,KA-51,"10,792/month","5,52,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
754,2016 Ford Ecosport,TITANIUM 1.5L DIESEL,Manual,"74,380 km",2nd Owner,Diesel,KA-09,"13,079/month","6,69,000","Horamavu Agara Road, Bengaluru",Bangalore
755,2021 Renault Kwid,RXT 1.0 AMT (O),Automatic,"18,707 km",1st Owner,Petrol,KA-55,"10,264/month","5,25,000","Bellahalli, Bengaluru",Bangalore
756,2013 Honda Brio,S MT,Manual,"64,742 km",2nd Owner,Petrol,KA-03,"6,412/month","3,28,000","Bellahalli, Bengaluru",Bangalore
757,2015 Hyundai Xcent,S (O) 1.2,Manual,"87,019 km",1st Owner,Petrol,KA-04,"8,837/month","4,52,000","Sonnappanahalli
",Bangalore
758,2017 Hyundai Creta,SX PLUS 1.6 PETROL,Manual,"58,203 km",1st Owner,Petrol,KA-51,"19,662/month","10,33,000","Garuda Mall, Magrath Road, Bengaluru",Bangalore
759,2015 Maruti Alto 800,LXI,Manual,"79,566 km",2nd Owner,Petrol,KA-03,"5,376/month","2,75,000","Bellahalli, Bengaluru",Bangalore
760,2022 Maruti Baleno,ALPHA 1.2 AGS,Automatic,"20,973 km",1st Owner,Petrol,KA-03,"18,044/month","9,48,000","Sonnappanahalli
",Bangalore
761,2017 Maruti Celerio,VXI,Manual,"40,997 km",2nd Owner,Petrol,KA-03,"8,915/month","4,56,000","Bellahalli, Bengaluru",Bangalore
762,2020 Renault Kwid,RXT 1.0 AMT (O),Automatic,"20,248 km",1st Owner,Petrol,KA-04,"10,401/month","5,32,000","Bellahalli, Bengaluru",Bangalore
763,2016 Hyundai Creta,SX PLUS AT 1.6 PETROL,Automatic,"75,598 km",2nd Owner,Petrol,KA-05,"17,327/month","9,10,300","Garuda Mall, Magrath Road, Bengaluru",Bangalore
764,2012 Maruti Swift,VXI,Manual,"42,762 km",1st Owner,Petrol,KA-04,"9,071/month","4,64,000","Horamavu Agara Road, Bengaluru",Bangalore
765,2011 Maruti Wagon R 1.0,VXI,Manual,"1,21,403 km",1st Owner,Petrol,KA-51,"5,337/month","2,73,000","Bellahalli, Bengaluru",Bangalore
766,2018 Maruti Ciaz,ALPHA DIESEL 1.3,Manual,"1,02,633 km",1st Owner,Diesel,KA-63,"15,437/month","8,11,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
767,2017 Hyundai i20 Active,1.2 SX,Manual,"43,031 km",1st Owner,Petrol,KA-04,"13,959/month","7,14,000","Bellahalli, Bengaluru",Bangalore
768,2019 Honda City,1.5L I-VTEC V MT,Manual,"19,024 km",2nd Owner,Petrol,KA-04,"17,759/month","9,33,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
769,2019 Hyundai NEW SANTRO,SPORTZ AMT,Automatic,"31,158 km",1st Owner,Petrol,KA-02,"10,968/month","5,61,000","Horamavu Agara Road, Bengaluru",Bangalore
770,2014 Honda Brio,V MT,Manual,"64,312 km",1st Owner,Petrol,KA-01,"7,507/month","3,84,000","Bellahalli, Bengaluru",Bangalore
771,2021 MG HECTOR,SHARP 2.0 DIESEL DUAL TONE,Manual,"1,27,904 km",1st Owner,Diesel,KA-29,"34,947/month","18,36,000","Bellahalli, Bengaluru",Bangalore
772,2016 Ford Ecosport,TITANIUM 1.5L PETROL AT,Automatic,"54,909 km",2nd Owner,Petrol,KA-03,"13,079/month","6,69,000","Bellahalli, Bengaluru",Bangalore
773,2017 Renault Kwid,RXT 0.8,Manual,"43,775 km",1st Owner,Petrol,KA-50,"7,253/month","3,71,000","Bellahalli, Bengaluru",Bangalore
774,2015 Honda Jazz,1.2L I-VTEC V AT,Automatic,"96,896 km",1st Owner,Petrol,KA-02,"10,694/month","5,47,000","GT World Mall, Bengaluru",Bangalore
775,2016 Hyundai Elite i20,ASTA 1.2,Manual,"58,715 km",1st Owner,Petrol,KA-51,"13,646/month","6,98,000","Bellahalli, Bengaluru",Bangalore
776,2011 Maruti Wagon R 1.0,VXI,Manual,"70,867 km",2nd Owner,Petrol,KA-51,"5,572/month","2,85,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
777,2013 Maruti Alto 800,VXI,Manual,"48,444 km",1st Owner,Petrol,KA-36,"5,161/month","2,64,000","Bellahalli, Bengaluru",Bangalore
778,2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"44,212 km",2nd Owner,Petrol,KA-53,"9,071/month","4,64,000","Whitefield Main Road, Bhoruka Tech Park, Benga...",Bangalore
779,2016 Maruti Baleno,ZETA PETROL 1.2,Manual,"69,310 km",1st Owner,Petrol,KA-05,"13,177/month","6,74,000","Bellahalli, Bengaluru",Bangalore
780,2016 Maruti Baleno,ZETA PETROL 1.2,Manual,"40,623 km",1st Owner,Petrol,KA-05,"13,431/month","6,87,000","Bellahalli, Bengaluru",Bangalore
781,2018 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"34,090 km",1st Owner,Petrol,KA-01,"11,300/month","5,78,000","Bellahalli, Bengaluru",Bangalore
782,2018 Maruti Celerio,VXI,Manual,"61,227 km",2nd Owner,Petrol,KA-50,"8,895/month","4,55,000","Bellahalli, Bengaluru",Bangalore
